pl_hostname,pl_letter,hd_name,hip_name,ra,dec
Kepler-591,b,,,286.024025,48.431770
Kepler-592,b,,,285.790685,48.683262
Kepler-593,b,,,294.951451,48.651188
Kepler-594,b,,,288.921586,49.762035
Kepler-595,b,,,294.570393,50.673023
Kepler-596,b,,,289.500676,51.685730
Kepler-597,b,,,293.470106,39.252808
Kepler-598,b,,,293.123423,40.934766
Kepler-599,b,,,285.911509,41.069443
Kepler-600,b,,,283.833059,41.978649
Kepler-601,b,,,282.004612,42.176533
Kepler-602,b,,,296.031983,42.141949
Kepler-603,b,,,294.280982,42.290970
Kepler-603,c,,,294.280982,42.290970
Kepler-603,d,,,294.280982,42.290970
Kepler-604,b,,,292.316017,42.626255
Kepler-605,b,,,287.295436,43.279873
Kepler-605,c,,,287.295436,43.279873
Kepler-606,b,,,292.427378,44.381268
Kepler-607,b,,,291.057206,44.632381
Kepler-608,b,,,293.882931,44.638096
Kepler-609,b,,,292.220313,44.700031
Kepler-610,b,,,293.171343,45.065605
Kepler-610,c,,,293.171343,45.065605
Kepler-191,d,,,291.183386,45.323177
Kepler-611,b,,,286.004962,45.480392
Kepler-192,d,,,287.917924,45.592876
Kepler-612,b,,,291.354639,45.747898
Kepler-613,b,,,282.786824,46.244992
Kepler-614,b,,,298.384823,46.276043
Kepler-615,b,,,282.450603,46.321404
Kepler-616,b,,,294.989131,46.838329
Kepler-616,c,,,294.989131,46.838329
Kepler-617,b,,,283.740710,47.516293
Kepler-618,b,,,286.249817,48.060940
Kepler-619,b,,,290.849058,48.416016
Kepler-619,c,,,290.849058,48.416016
Kepler-620,b,,,291.159391,51.334866
Kepler-621,b,,,290.927286,39.914145
Kepler-622,b,,,284.478472,40.933110
HD 143105,b,HD 143105,HIP 77838,238.402328,68.720116
HIP 109600,b,,HIP 109600,333.026062,29.065811
HD 35759,b,HD 35759,HIP 25883,82.888962,64.318779
HIP 109384,b,,HIP 109384,332.405823,71.314331
Kepler-156,b,,,290.296515,37.749490
Kepler-158,b,,,284.032244,39.781348
Kepler-160,c,,,287.773581,42.869286
Kepler-162,c,,,297.278910,43.724018
Kepler-164,c,,,287.780828,47.629913
Kepler-166,b,,,293.160171,48.881191
Kepler-168,c,,,294.710165,39.825104
Kepler-169,e,,,285.999891,40.919329
Kepler-171,b,,,296.771914,41.755537
Kepler-172,d,,,283.368413,41.821857
Kepler-174,b,,,287.439194,43.832092
Kepler-175,c,,,289.553283,43.876183
Kepler-177,b,,,286.047132,45.053207
Kepler-178,d,,,287.101089,46.896477
Kepler-18,b,,,298.079439,44.746321
Kepler-186,b,,,298.652714,43.955017
Kepler-186,f,,,298.652714,43.955017
Kepler-188,c,,,281.279710,44.315533
Kepler-19,c,,,290.420839,37.851786
Kepler-191,b,,,291.183386,45.323177
Kepler-193,b,,,296.498596,46.577244
Kepler-194,d,,,291.971445,47.864174
Kepler-196,c,,,284.968519,42.079205
Kepler-198,b,,,290.673130,38.691011
Kepler-20,e,,,287.698004,42.338726
Kepler-336,d,,,290.237643,41.331370
Kepler-337,b,,,290.060490,47.163956
Kepler-337,c,,,290.060490,47.163956
Kepler-338,b,,,282.978956,40.784347
Kepler-338,c,,,282.978956,40.784347
Kepler-338,d,,,282.978956,40.784347
Kepler-338,e,,,282.978956,40.784347
Kepler-339,b,,,293.351712,48.444641
Kepler-339,c,,,293.351712,48.444641
Kepler-340,b,,,295.933477,40.300570
Kepler-340,c,,,295.933477,40.300570
Kepler-341,b,,,289.861576,43.472775
Kepler-341,c,,,289.861576,43.472775
Kepler-341,d,,,289.861576,43.472775
Kepler-342,b,,,292.678083,46.726715
Kepler-342,c,,,292.678083,46.726715
Kepler-342,d,,,292.678083,46.726715
Kepler-343,b,,,291.960684,42.433006
Kepler-344,b,,,292.499645,46.324406
Kepler-344,c,,,292.499645,46.324406
Kepler-345,b,,,295.228802,45.971020
Kepler-346,b,,,288.011911,46.117607
Kepler-346,c,,,288.011911,46.117607
Kepler-347,b,,,289.199596,49.305717
Kepler-348,b,,,297.255050,40.548373
Kepler-348,c,,,297.255050,40.548373
Kepler-1459,b,,,282.423025,46.014019
Kepler-1460,b,,,285.557796,44.010788
Kepler-1461,b,,,285.830458,43.198395
Kepler-1462,b,,,296.397527,42.396918
Kepler-1463,b,,,294.487304,42.006920
Kepler-1464,b,,,287.235677,38.754161
Kepler-1464,c,,,287.235677,38.754161
Kepler-1465,b,,,289.819341,51.904850
Kepler-1466,b,,,289.831222,44.609863
Kepler-1467,b,,,295.048540,45.342686
Kepler-1468,b,,,293.519844,41.277405
Kepler-1468,c,,,293.519844,41.277405
Kepler-1469,b,,,293.821357,39.391350
Kepler-1470,b,,,288.695007,39.883191
Kepler-1471,b,,,289.664878,50.020046
Kepler-1472,b,,,294.852648,49.057472
Kepler-1473,b,,,290.636569,48.996082
Kepler-1474,b,,,294.694049,45.866837
Kepler-1475,b,,,295.948273,44.753124
Kepler-1476,b,,,284.532096,43.989956
Kepler-1477,b,,,281.298535,42.685753
Kepler-1478,b,,,293.165079,41.746235
Kepler-1479,b,,,285.711919,49.706657
Kepler-1480,b,,,291.999771,49.301811
Kepler-1481,b,,,289.438971,49.731220
Kepler-1482,b,,,285.313805,48.725254
Kepler-1483,b,,,295.409776,42.150831
Kepler-1484,b,,,292.684285,38.126286
Kepler-1485,b,,,298.095423,44.737057
Kepler-1486,b,,,290.590382,45.439713
Kepler-200,b,,,284.409920,41.237465
Kepler-202,b,,,282.973419,41.322006
Kepler-204,b,,,285.347187,41.761925
Kepler-206,b,,,291.634678,41.833866
Kepler-207,c,,,290.030517,42.166050
Kepler-208,d,,,293.890206,42.528008
Kepler-210,c,,,292.503389,43.083149
Kepler-212,c,,,287.620834,43.141678
Kepler-242,c,,,286.565695,41.808403
Kepler-244,c,,,287.242680,42.301369
Kepler-246,b,,,296.483427,42.663429
Kepler-247,d,,,288.642531,43.039291
Kepler-249,c,,,296.985068,43.658524
Kepler-25,d,,,286.638393,39.487894
Kepler-250,d,,,289.594765,44.141953
Kepler-252,b,,,295.579345,44.545963
Kepler-253,d,,,291.841992,44.858089
Kepler-255,b,,,296.064233,45.976841
Kepler-256,e,,,292.580445,46.097389
Kepler-258,b,,,294.068490,46.579330
Kepler-26,d,,,284.940997,46.566540
Kepler-260,b,,,291.925972,38.014122
Kepler-262,b,,,290.728675,37.252649
Kepler-264,c,,,292.044615,37.376246
Kepler-265,e,,,290.510478,41.244820
Kepler-349,b,,,293.676480,44.615578
Kepler-350,b,,,285.419606,39.706107
Kepler-350,c,,,285.419606,39.706107
Kepler-350,d,,,285.419606,39.706107
Kepler-351,b,,,286.452706,42.657879
Kepler-352,b,,,299.896521,46.051975
Kepler-352,c,,,299.896521,46.051975
Kepler-353,b,,,296.856633,41.758180
Kepler-354,b,,,285.751452,41.335640
Kepler-354,c,,,285.751452,41.335640
Kepler-354,d,,,285.751452,41.335640
Kepler-355,c,,,285.799457,42.811783
Kepler-356,b,,,292.421077,37.682819
Kepler-356,c,,,292.421077,37.682819
Kepler-357,b,,,291.243104,44.008720
Kepler-357,d,,,291.243104,44.008720
Kepler-358,b,,,293.230225,48.281376
Kepler-358,c,,,293.230225,48.281376
Kepler-359,c,,,293.293635,42.196354
Kepler-359,d,,,293.293635,42.196354
Kepler-360,b,,,286.284731,44.781555
Kepler-361,b,,,296.803453,46.741154
Kepler-361,c,,,296.803453,46.741154
Kepler-362,b,,,291.771639,47.529903
Kepler-363,b,,,283.192081,41.305393
Kepler-363,c,,,283.192081,41.305393
Kepler-1487,b,,,295.498108,38.644501
Kepler-1488,b,,,286.646417,49.937778
Kepler-1489,b,,,281.295831,44.465405
Kepler-1490,b,,,295.693573,42.609512
Kepler-1491,b,,,293.629756,45.740651
Kepler-1492,b,,,288.597097,41.036420
Kepler-1493,b,,,288.549148,38.565232
Kepler-1494,b,,,282.657401,43.162518
Kepler-1495,b,,,286.130757,38.779631
Kepler-1496,b,,,293.973936,45.350704
Kepler-1497,b,,,296.196140,45.634331
Kepler-1498,b,,,284.778110,44.916782
Kepler-1499,b,,,283.986337,41.650406
Kepler-1500,b,,,288.883334,39.744572
Kepler-1501,b,,,289.918519,42.001431
Kepler-1502,b,,,296.107919,39.319913
Kepler-1503,b,,,293.727175,42.806759
Kepler-1504,b,,,289.711993,50.128212
Kepler-1505,b,,,292.002052,41.786961
Kepler-1506,b,,,290.149884,41.464595
Kepler-1507,b,,,288.561525,46.536053
Kepler-1508,b,,,298.118885,40.375047
Kepler-1509,b,,,283.797813,46.931004
Kepler-1510,b,,,298.959138,48.257824
Kepler-1511,b,,,288.421218,43.179798
Kepler-1512,b,,,289.274503,44.470253
Kepler-1513,b,,,289.791634,39.285277
Kepler-1514,b,,,292.627466,37.860133
Kepler-1515,b,,,290.973930,48.178162
Kepler-1516,b,,,291.494603,44.523502
Kepler-267,c,,,299.830387,47.157461
Kepler-269,c,,,290.215171,41.775967
Kepler-276,d,,,293.568150,39.036326
Kepler-278,b,,,290.107193,38.702235
Kepler-279,d,,,287.391224,42.194836
Kepler-28,b,,,292.137029,42.429420
Kepler-281,c,,,294.108191,44.770699
Kepler-282,e,,,284.677277,44.797684
Kepler-284,c,,,293.146491,47.729649
Kepler-286,c,,,290.676145,48.294289
Kepler-287,c,,,290.927458,48.443550
Kepler-289,c,,,297.465344,42.882850
Kepler-291,b,,,287.916357,42.437302
Kepler-292,d,,,295.766145,42.424288
Kepler-293,c,,,286.358057,42.406509
Kepler-295,d,,,285.345843,45.367786
Kepler-296,e,,,286.540008,49.437326
Kepler-298,b,,,283.039792,48.825359
Kepler-299,d,,,283.206964,48.580502
Kepler-30,b,,,285.283636,38.947281
Kepler-301,b,,,283.982968,49.232990
Kepler-306,d,,,288.538671,40.616140
Kepler-308,b,,,295.785154,40.439550
Kepler-31,d,,,294.023014,45.853081
Kepler-310,b,,,288.839363,46.986744
Kepler-312,b,,,298.395772,42.459756
Kepler-363,d,,,283.192081,41.305393
Kepler-364,b,,,281.569933,47.398697
Kepler-365,b,,,295.626598,49.130436
Kepler-365,c,,,295.626598,49.130436
Kepler-366,b,,,296.852042,49.084446
Kepler-367,b,,,297.292418,49.981632
Kepler-367,c,,,297.292418,49.981632
Kepler-368,b,,,291.880046,45.387936
Kepler-369,b,,,293.674235,47.908467
Kepler-369,c,,,293.674235,47.908467
Kepler-370,b,,,292.171121,40.916306
Kepler-370,c,,,292.171121,40.916306
Kepler-371,c,,,292.326464,38.657588
Kepler-372,b,,,291.256195,49.258953
Kepler-372,c,,,291.256195,49.258953
Kepler-372,d,,,291.256195,49.258953
Kepler-373,b,,,289.387993,50.597050
Kepler-373,c,,,289.387993,50.597050
Kepler-374,b,,,294.137930,42.370502
Kepler-374,c,,,294.137930,42.370502
Kepler-374,d,,,294.137930,42.370502
Kepler-375,b,,,288.617907,48.098416
Kepler-375,c,,,288.617907,48.098416
Kepler-376,b,,,291.607165,38.410386
Kepler-376,c,,,291.607165,38.410386
Kepler-377,b,,,295.422002,38.735691
Kepler-1517,b,,,287.807220,43.188778
Kepler-1518,b,,,300.332385,44.986137
Kepler-1519,b,,,296.667903,49.461861
KIC 5437945,c,,,288.474857,40.651357
Kepler-1520,b,,,290.966214,51.504723
Kepler-1521,b,,,292.690301,37.835001
Kepler-1522,b,,,289.843226,52.070160
Kepler-1523,b,,,296.054062,45.827049
Kepler-1524,b,,,293.885398,39.519818
Kepler-1525,b,,,290.559517,49.943016
Kepler-1526,b,,,285.119706,38.866428
Kepler-1527,b,,,297.414414,46.060818
Kepler-1528,b,,,287.402943,46.573986
Kepler-1529,b,,,289.870716,41.040728
Kepler-1530,b,,,288.162502,48.165154
